time,temperature,relative_humidity,precipitation,rain,snow_depth,weather_code,cloud_cover,wind_speed,is_day,sunshine_duration
2020-01-01T00:00,-0.9,72,0,0,0.02,0,15,21.5,0,0
2020-01-01T01:00,-1.3,74,0,0,0.02,3,90,23.8,0,0
2020-01-01T02:00,-1.2,73,0,0,0.02,3,90,23.5,0,0
2020-01-01T03:00,-1.4,73,0,0,0.02,0,1,23.1,0,0
2020-01-01T04:00,-1.7,76,0,0,0.02,0,0,22.2,0,0
2020-01-01T05:00,-1.8,77,0,0,0.02,1,43,20.7,0,0
2020-01-01T06:00,-1.7,75,0,0,0.02,2,56,20.3,0,0
2020-01-01T07:00,-1.6,72,0,0,0.02,2,53,19.6,0,0
2020-01-01T08:00,-1.9,73,0,0,0.02,1,47,18,0,0
2020-01-01T09:00,-1.9,74,0,0,0.02,2,68,17.8,0,0
2020-01-01T10:00,-1.4,73,0.1,0,0.02,71,75,18.9,0,0
2020-01-01T11:00,-1.1,73,0.1,0,0.02,71,100,18.6,0,0
2020-01-01T12:00,-0.8,71,0,0,0.02,3,100,18.9,0,0
2020-01-01T13:00,-0.9,68,0,0,0.02,3,100,19.2,1,0
2020-01-01T14:00,-0.8,71,0,0,0.02,3,100,17.2,1,625.47
2020-01-01T15:00,-0.3,64,0,0,0.02,3,93,19.7,1,0
2020-01-01T16:00,0,58,0,0,0.02,3,95,21,1,0
2020-01-01T17:00,0.1,56,0,0,0.02,3,90,20.2,1,0
2020-01-01T18:00,0.4,54,0,0,0.02,3,89,20.3,1,0
2020-01-01T19:00,0.9,52,0,0,0.02,2,73,19.1,1,418.54
2020-01-01T20:00,0.8,50,0,0,0.02,1,26,18.7,1,3600
2020-01-01T21:00,-0.1,52,0,0,0.02,0,3,13,1,3600
2020-01-01T22:00,-1.9,55,0,0,0.02,1,44,9.7,0,1090.94
2020-01-01T23:00,-3.7,65,0,0,0.02,1,36,6.9,0,0
2020-01-02T00:00,-4.4,67,0,0,0.02,1,38,7.6,0,0
2020-01-02T01:00,-3.5,66,0,0,0.02,0,19,10.1,0,0
2020-01-02T02:00,-3.7,78,0,0,0.02,1,48,9.3,0,0
2020-01-02T03:00,-2.5,77,0,0,0.02,1,21,12.3,0,0
2020-01-02T04:00,-1.7,76,0,0,0.02,1,44,16,0,0
2020-01-02T05:00,-0.7,78,0,0,0.02,3,88,16.6,0,0
2020-01-02T06:00,0.9,75,0,0,0.02,2,63,15.1,0,0
2020-01-02T07:00,1.3,74,0,0,0.02,0,17,14.2,0,0
2020-01-02T08:00,0.7,78,0,0,0.02,1,36,12.5,0,0
