Artist,Album,Song,Date Played,Song ID
Drake,Views,One Dance,2024-07-07 23:10,1zi7xx7UVEFkmKfv06H8x0
A$AP Rocky,TESTING,Praise the Lord (Da Shine) (feat. Skepta),2024-07-07 23:06,7ycWLEP1GsNjVvcjawXz3z
Travis Scott,ASTROWORLD,SICKO MODE,2024-07-07 23:01,2xLMifQCjDGFmkHkpNLD9h
Kanye West,Donda,Hurricane,2024-07-07 22:57,6Hfu9sc7jvv6coyy2LlzBF
Gunna,WUNNA,DOLLAZ ON MY HEAD (feat. Young Thug),2024-07-07 22:54,3nS9a01VvXHQriLqJYwRqG
Playboi Carti,Whole Lotta Red,ILoveUIHateU,2024-07-07 22:51,1BpKJw4RZxaFB88NE5uxXf
Lil Skies,Life of a Dark Rose,Lust,2024-07-07 22:49,7oJrVhiTPZGBXWPwhxjy9S
Quality Control,Quality Control: Control the Streets Volume 2,100 Racks (Offset feat. Playboi Carti),2024-07-07 22:46,4T2dHb8XBYHlVj7Dyo1cW9
Travis Scott,HIGHEST IN THE ROOM,HIGHEST IN THE ROOM,2024-07-07 22:43,3eekarcy7kvN4yt5ZFzltW
Kanye West,The Life of Pablo,Father Stretch My Hands Pt. 1,2024-07-07 22:41,4KW1lqgSr8TKrvBII0Brf8
Gunna,a Gift & a Curse,fukumean,2024-07-07 22:39,4rXLjWdF2ZZpXCVTfWcshS
Gunna,WUNNA,SKYBOX,2024-07-07 22:36,4jMPZl0GrSFgbogJ0C6sNG
Lil Uzi Vert,Luv Is Rage 2 (Deluxe),20 Min,2024-07-07 22:32,0uxSUdBrJy9Un0EYoBowng
Kanye West,808s & Heartbreak,Heartless,2024-07-07 22:28,4EWCNWgDS8707fNSZ1oaA5
Lil Uzi Vert,Luv Is Rage 2,XO TOUR Llif3,2024-07-07 22:25,7GX5flRQZVHRAGd6B4TmDO
French Montana,Jungle Rules,Unforgettable,2024-07-07 22:21,3B54sVLJ402zGa6Xm4YGNe
Drake,Laugh Now Cry Later (feat. Lil Durk),Laugh Now Cry Later (feat. Lil Durk),2024-07-07 22:17,2SAqBLGA283SUiwJ3xOUVI
Drake,Dark Lane Demo Tapes,Toosie Slide,2024-07-07 22:13,127QTOFJsJQp5LbJbu3A1y
Lil Wayne,I Am Not A Human Being II (Deluxe),Love Me,2024-07-07 22:03,2XHzzp1j4IfTNp1FTn7YFg
Drake,More Life,Passionfruit,2024-07-07 21:58,5mCPDVBb16L4XQwDdbRUpz
Playboi Carti,Die Lit,Lean 4 Real (feat. Skepta),2024-07-05 23:16,29TPjc8wxfz4XMn21O7VsZ
Jake Eaw,Summer 2021 Anime Piano Vol.1,Sora To Utsuro,2024-07-05 23:11,1iIb3vNgIwj3kklwXJX94c
AZALI,alone together,alone together,2024-07-05 23:10,1jkZUkwXsBdsxAcuZQ8Zh5
Jake Eaw,Spring 2022 Anime Piano Vol.1,Double Shuffle,2024-07-05 23:10,2NUm8t925Rh0B40amE3vlF
