Artist,Album,Song,Date Played,Song ID,Unnamed: 5,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Drake,Views,One Dance,2024-07-07 23:10,1zi7xx7UVEFkmKfv06H8x0,,0.792,0.625,1.0,-5.609,1.0,0.0536,0.00776,0.0018,0.329,0.37,103.967,173987.0,4.0
A$AP Rocky,TESTING,Praise the Lord (Da Shine) (feat. Skepta),2024-07-07 23:06,7ycWLEP1GsNjVvcjawXz3z,,0.854,0.569,5.0,-8.151,0.0,0.106,0.0609,0.0816,0.1,0.294,80.015,205040.0,4.0
Travis Scott,ASTROWORLD,SICKO MODE,2024-07-07 23:01,2xLMifQCjDGFmkHkpNLD9h,,0.834,0.73,8.0,-3.714,1.0,0.222,0.00513,0.0,0.124,0.446,155.008,312820.0,4.0
Kanye West,Donda,Hurricane,2024-07-07 22:57,6Hfu9sc7jvv6coyy2LlzBF,,0.587,0.561,0.0,-6.569,1.0,0.146,0.0466,0.0,0.109,0.351,80.009,243187.0,4.0
Gunna,WUNNA,DOLLAZ ON MY HEAD (feat. Young Thug),2024-07-07 22:54,3nS9a01VvXHQriLqJYwRqG,,0.825,0.458,0.0,-7.47,1.0,0.0577,0.114,0.0,0.102,0.161,145.115,197760.0,4.0
Playboi Carti,Whole Lotta Red,ILoveUIHateU,2024-07-07 22:51,1BpKJw4RZxaFB88NE5uxXf,,0.684,0.693,4.0,-6.651,0.0,0.0339,0.00534,0.0,0.506,0.108,134.988,135122.0,4.0
Lil Skies,Life of a Dark Rose,Lust,2024-07-07 22:49,7oJrVhiTPZGBXWPwhxjy9S,,0.718,0.767,9.0,-5.641,1.0,0.166,0.138,0.0,0.114,0.519,160.084,156000.0,4.0
Quality Control,Quality Control: Control the Streets Volume 2,100 Racks (Offset feat. Playboi Carti),2024-07-07 22:46,4T2dHb8XBYHlVj7Dyo1cW9,,0.939,0.632,1.0,-2.978,1.0,0.137,0.0606,0.00136,0.101,0.364,133.979,157645.0,4.0
Travis Scott,HIGHEST IN THE ROOM,HIGHEST IN THE ROOM,2024-07-07 22:43,3eekarcy7kvN4yt5ZFzltW,,0.598,0.427,7.0,-8.764,0.0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,175721.0,4.0
Kanye West,The Life of Pablo,Father Stretch My Hands Pt. 1,2024-07-07 22:41,4KW1lqgSr8TKrvBII0Brf8,,0.724,0.573,7.0,-4.113,1.0,0.0549,0.118,0.0,0.538,0.438,113.088,135920.0,4.0
Gunna,a Gift & a Curse,fukumean,2024-07-07 22:39,4rXLjWdF2ZZpXCVTfWcshS,,0.847,0.622,1.0,-6.747,0.0,0.0903,0.119,0.0,0.285,0.22,130.001,125040.0,4.0
Gunna,WUNNA,SKYBOX,2024-07-07 22:36,4jMPZl0GrSFgbogJ0C6sNG,,0.78,0.635,1.0,-7.917,1.0,0.17,0.132,0.0,0.1,0.371,140.997,178093.0,4.0
Lil Uzi Vert,Luv Is Rage 2 (Deluxe),20 Min,2024-07-07 22:32,0uxSUdBrJy9Un0EYoBowng,,0.773,0.75,8.0,-4.009,0.0,0.117,0.109,0.0,0.174,0.783,123.426,220587.0,4.0
Kanye West,808s & Heartbreak,Heartless,2024-07-07 22:28,4EWCNWgDS8707fNSZ1oaA5,,0.79,0.647,10.0,-5.983,0.0,0.136,0.0515,0.0,0.248,0.654,87.999,211000.0,4.0
Lil Uzi Vert,Luv Is Rage 2,XO TOUR Llif3,2024-07-07 22:25,7GX5flRQZVHRAGd6B4TmDO,,0.732,0.75,11.0,-6.366,0.0,0.231,0.00264,0.0,0.109,0.401,155.096,182707.0,4.0
French Montana,Jungle Rules,Unforgettable,2024-07-07 22:21,3B54sVLJ402zGa6Xm4YGNe,,0.726,0.769,6.0,-5.043,1.0,0.123,0.0293,0.0101,0.104,0.733,97.985,233902.0,4.0
Drake,Laugh Now Cry Later (feat. Lil Durk),Laugh Now Cry Later (feat. Lil Durk),2024-07-07 22:17,2SAqBLGA283SUiwJ3xOUVI,,0.761,0.518,0.0,-8.871,1.0,0.134,0.244,3.47e-05,0.107,0.522,133.976,261493.0,4.0
Drake,Dark Lane Demo Tapes,Toosie Slide,2024-07-07 22:13,127QTOFJsJQp5LbJbu3A1y,,0.834,0.454,1.0,-9.75,0.0,0.201,0.321,6.15e-06,0.114,0.837,81.618,247059.0,4.0
Lil Wayne,I Am Not A Human Being II (Deluxe),Love Me,2024-07-07 22:03,2XHzzp1j4IfTNp1FTn7YFg,,0.67,0.634,11.0,-6.471,1.0,0.0326,0.0124,0.0,0.0946,0.497,124.926,255053.0,4.0
Drake,More Life,Passionfruit,2024-07-07 21:58,5mCPDVBb16L4XQwDdbRUpz,,0.809,0.463,11.0,-11.377,1.0,0.0396,0.256,0.085,0.109,0.364,111.98,298941.0,4.0
Playboi Carti,Die Lit,Lean 4 Real (feat. Skepta),2024-07-05 23:16,29TPjc8wxfz4XMn21O7VsZ,,0.785,0.903,2.0,-4.184,1.0,0.21,0.258,0.0,0.169,0.565,139.98,193234.0,4.0
Jake Eaw,Summer 2021 Anime Piano Vol.1,Sora To Utsuro,2024-07-05 23:11,1iIb3vNgIwj3kklwXJX94c,,0.479,0.269,5.0,-19.509,0.0,0.0338,0.973,0.957,0.111,0.426,103.995,87550.0,4.0
AZALI,alone together,alone together,2024-07-05 23:10,1jkZUkwXsBdsxAcuZQ8Zh5,,0.589,0.0505,7.0,-19.184,0.0,0.0537,0.962,0.89,0.108,0.395,74.882,73422.0,4.0
Jake Eaw,Spring 2022 Anime Piano Vol.1,Double Shuffle,2024-07-05 23:10,2NUm8t925Rh0B40amE3vlF,,0.439,0.834,5.0,-5.234,1.0,0.0327,0.333,0.939,0.381,0.876,154.275,139337.0,4.0
Jake Eaw,Fall 2021 Anime Piano Vol.2,Sympathy,2024-07-05 23:07,1Ud6moTC0KyXMq1Oxfien0,,0.703,0.668,9.0,-9.237,1.0,0.22,0.516,0.0,0.0588,0.561,116.039,378147.0,4.0
Rich Amiri,GHETTO FABULOUS,One Call,2024-07-05 23:05,69phA1R4gmQsBFRQ3INW8C,,0.65,0.539,1.0,-7.281,1.0,0.0561,0.00617,2.67e-05,0.114,0.253,158.105,121399.0,4.0
Kanye West,Wash Us In The Blood,Wash Us in the Blood,2024-07-05 23:02,7mEUjhl6aTztdHCrxoTgBG,,0.67,0.847,10.0,-4.85,1.0,0.409,0.184,0.0,0.304,0.381,137.22,189827.0,4.0
