Artist,Album,Song,Date Played,Song ID,Unnamed: 5,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
68+1,unreal,unreal,2024-03-02 7:17,4rXpwOe5IhrlV2m6UC10cQ,,0.573,0.825,2.0,-8.515,0.0,0.0643,0.0897,0.918,0.287,0.0531,90.527,116663.0,4.0
Sugure Joka,everything will be alright smile,everything will be alright smile,2024-03-02 7:16,4QvolAziKZhkYVfmRoXNNk,,0.728,0.342,10.0,-15.5,1.0,0.282,0.561,0.95,0.0969,0.0696,164.123,96753.0,4.0
68+1,unseen,unseen,2024-03-02 7:14,2mZO9VWAIJ7KvL91kbZsC8,,0.263,0.911,4.0,-5.348,1.0,0.0643,0.00123,0.00106,0.243,0.738,186.442,154573.0,4.0
68+1,forgotten dream,forgotten dream,2024-03-02 7:08,6lcMFhmT6dE0pm8fEPJcKM,,0.641,0.639,9.0,-14.34,1.0,0.0312,0.0145,0.0195,0.269,0.877,117.298,239173.0,4.0
usedcvnt,ultraviolet,143 ways to lose urself,2024-03-02 7:02,0WVwOSGn9J8Ccq5wuBDLmJ,,0.414,0.869,10.0,-12.628,0.0,0.0797,0.0245,0.927,0.355,0.343,159.947,147039.0,4.0
strxwberrymilk,Music for Awkward Dates,My Head Hurts,2024-03-02 6:11,4k1pRLWkbIxwlaUZ4GafHB,,0.53,0.92,9.0,-8.015,0.0,0.0747,0.559,0.941,0.0971,0.607,165.104,186258.0,4.0
usedcvnt,ultraviolet,overthinking,2024-03-02 6:05,4ytK20p8N2fcy4fBMZX1Nr,,0.573,0.544,10.0,-13.426,0.0,0.0371,0.0138,0.942,0.206,0.299,160.056,144023.0,4.0
68+1,voicemails,voicemails,2024-03-02 6:04,4rAnSE0E0f33unxXsQa5Fr,,0.487,0.464,4.0,-13.494,1.0,0.0353,0.105,0.000183,0.0767,0.214,97.53,263067.0,4.0
Dracodraco,through the light,through the light,2024-03-02 5:59,4dUFWoTGL8BXPj3chx3RzL,,0.389,0.925,8.0,-4.257,1.0,0.0867,0.00091,0.778,0.193,0.625,164.739,96678.0,4.0
Vertigoaway,Agaki Home Radio,Talking Show,2024-03-02 5:57,6FCcvZwteSU5XdPaCUP9Tx,,0.534,1.0,11.0,-6.462,1.0,0.0938,0.00485,0.791,0.0728,0.111,175.056,66171.0,4.0
68+1,=,=,2024-03-01 4:57,2kkvB3RNRzwjFdGhaUA0tz,,0.404,0.902,1.0,-3.88,1.0,0.0665,0.577,0.297,0.287,0.497,115.669,423840.0,4.0
hkmori,unrequited love,it finished as soon as it started,2024-03-01 4:41,2RKG6j07a868sdZH3DZoee,,0.663,0.6,3.0,-14.685,1.0,0.287,0.722,0.0031,0.201,0.611,81.58,46370.0,3.0
my head is empty,i was only temporary 2 u,i was only temporary 2 u,2024-03-01 4:34,0X4YYZtZcvqNqYIpMd93IT,,0.332,0.222,7.0,-30.108,0.0,0.0394,0.621,0.76,0.109,0.0336,107.067,98622.0,4.0
Black Balloons,dreamscape,EARTHBOUND,2024-03-01 4:32,0YX9BYXNtckbuRZjSStcxk,,0.492,0.695,2.0,-8.665,1.0,0.159,0.0677,0.046,0.122,0.293,172.024,103256.0,4.0
