Artist,Album,Song,Date Played,Song ID,
Felix Mendelssohn,MENDELSSOHN: Songs without Words Vol. 2,Lieder ohne Worte (Songs without Words) Book 1 Op. 19b: Lied ohne Worte (Song without Words) No. 6 in G minor Op. 19 No. 6 Venezianisches Gondellied (Venetian Gondola Song),2024-06-25 4:06,3awXX3NCCFczArHPXTdrNk,
Kupla,Mirage,We Were Young,2024-06-19 20:47,2zhDbqkCfff25fgKZq5gAl,
Kupla,Taiga Native,Can You See the Rhino in the Clouds?,2024-02-15 21:06,4bCtV7phdTN1XPSEpfNk7o,
eugenio izzi,Feel Free To Imagine,The Fairie's City,2024-01-27 6:20,1wXRMYjWMEWSYD6PwdPGi2,
Chau Sara,Sleepless Night,Flying Doodles,2024-01-06 22:18,4L0SR0kQbKia4rdDA2rdM4,
HM SURF,Morning Coffee,Writing All Day,2024-01-06 2:58,7Kf8FBKSSoLvMGR9TEgaRS,
eugenio izzi,Feel Free To Imagine,Get Lost In The Mind's Ocean,2024-01-06 2:02,38Qt6C4oIIrCCXXoU0tsa2,
Chau Sara,Lightsaber Bar,Speeder,2023-11-12 21:49,5sl732ZtPazl5RBvp03wyn,
Papii Don 777,777,Number 7 (Outro),2023-10-02 21:56,2oiPQXgFhQXzGhvi0zvKaJ,
Fabien Tamm,Merikarp,Merikarp,2023-08-22 9:15,1SucXU3xTOCyBAAqE22E8B,
Saint Petersburg Radio and TV Symphony Orchestra Stanislav Gorkovenko,The Sleeping Beauty (complete) Vol. 1,The Sleeping Beauty Op. 66 : Prologue No.3 Pas de six Variation I. Candile (Fairy of the Crystal Fountain),2023-02-11 23:19,5SyVif4HKXxnkRBlPHOR0s,
HM SURF,Jola Shores,Jola Shores,2022-12-30 20:42,7CH6IpYZxgzaXS4WFiX1Pe,
Flitz&Suppe,Yokai,Mujinas Ramen Shop,2022-11-09 0:11,5xyhG7nGl3A8pvFFCEbTdl,
Free Dominguez,METAL GEAR RISING REVENGEANCE Vocal Tracks Selection,A Stranger I Remain - Maniac Agenda Mix,2022-07-15 21:13,29eKlSdk4dmwBgqtwASiFW,
Expedidor,fez frio meu carnaval (windblown),fez frio meu carnaval (windblown),2022-06-23 12:18,69qtoEZxeelDI4Declw5zc,
URCHN,Morning Embers,Morning Embers,2022-01-31 2:47,1I73LYFQsiuQYJxkx2k1iv,
