x,y,PROVINCE_CODE,TEMP_FLAG,UTC_DAY,UTC_MONTH,WINDCHILL_FLAG,RELATIVE_HUMIDITY_FLAG,WEATHER_ENG_DESC,UTC_DATE,DEW_POINT_TEMP,WINDCHILL,VISIBILITY_FLAG,HUMIDEX_FLAG,LOCAL_YEAR,VISIBILITY,WIND_SPEED_FLAG,STATION_PRESSURE_FLAG,UTC_YEAR,WIND_DIRECTION,LOCAL_HOUR,PRECIP_AMOUNT_FLAG,RELATIVE_HUMIDITY,TEMP,ID,STATION_NAME,DEW_POINT_TEMP_FLAG,STATION_PRESSURE,WIND_DIRECTION_FLAG,LOCAL_MONTH,PRECIP_AMOUNT,LOCAL_DATE,LOCAL_DAY,CLIMATE_IDENTIFIER,WIND_SPEED,HUMIDEX,WEATHER_FRE_DESC
-79.63055555555556,43.67666666666667,ON,,16,4,,,NA,2020-04-16T20:00:00,-6.2,,,,2020,24.1,,,2020,28,15,,53,2.4,6158731.2020.4.16.15,TORONTO INTL A,,99.95,,4,,2020-04-16 15:00:00,16,6158731,16,,ND
-79.63055555555556,43.67666666666667,ON,,16,4,,,Mostly Cloudy,2020-04-16T21:00:00,-5.4,,,,2020,24.1,,,2020,27,16,,52,3.5,6158731.2020.4.16.16,TORONTO INTL A,,99.96,,4,,2020-04-16 16:00:00,16,6158731,26,,Généralement nuageux
-79.63055555555556,43.67666666666667,ON,,16,4,,,Snow Showers,2020-04-16T22:00:00,-6.6,,,,2020,24.1,,,2020,29,17,,54,1.7,6158731.2020.4.16.17,TORONTO INTL A,,99.99,,4,,2020-04-16 17:00:00,16,6158731,40,,Averses de neige
-79.63055555555556,43.67666666666667,ON,,16,4,,,NA,2020-04-16T23:00:00,-9.5,,,,2020,24.1,,,2020,27,18,,41,2.6,6158731.2020.4.16.18,TORONTO INTL A,,99.97,,4,,2020-04-16 18:00:00,16,6158731,22,,ND
-79.63055555555556,43.67666666666667,ON,,17,4,,,Mainly Clear,2020-04-17T00:00:00,-9.7,,,,2020,24.1,,,2020,26,19,,44,1.3,6158731.2020.4.16.19,TORONTO INTL A,,99.96,,4,,2020-04-16 19:00:00,16,6158731,13,,Généralement dégagé
-79.63055555555556,43.67666666666667,ON,,17,4,,,NA,2020-04-17T01:00:00,-8.3,-3,,,2020,24.1,,,2020,25,20,,54,-0.1,6158731.2020.4.16.20,TORONTO INTL A,,100.02,,4,,2020-04-16 20:00:00,16,6158731,7,,ND
-79.63055555555556,43.67666666666667,ON,,17,4,,,NA,2020-04-17T02:00:00,-7.4,,,,2020,24.1,,,2020,28,21,,52,1.4,6158731.2020.4.16.21,TORONTO INTL A,,100.15,,4,,2020-04-16 21:00:00,16,6158731,30,,ND
-79.63055555555556,43.67666666666667,ON,,17,4,,,Clear,2020-04-17T03:00:00,-6.0,-5,,,2020,24.1,,,2020,22,22,,68,-0.8,6158731.2020.4.16.22,TORONTO INTL A,,100.15,,4,,2020-04-16 22:00:00,16,6158731,11,,Dégagé
-79.63055555555556,43.67666666666667,ON,,17,4,,,NA,2020-04-17T04:00:00,-6.0,-6,,,2020,24.1,,,2020,20,23,,73,-1.7,6158731.2020.4.16.23,TORONTO INTL A,,100.16,,4,,2020-04-16 23:00:00,16,6158731,13,,ND
-79.63055555555556,43.67666666666667,ON,,17,4,,,NA,2020-04-17T05:00:00,-5.5,-4,,,2020,24.1,,,2020,28,0,,72,-1.2,6158731.2020.4.17.0,TORONTO INTL A,,100.19,,4,,2020-04-17 00:00:00,17,6158731,9,,ND
