x,y,LOCAL_MONTH,LOCAL_DATE,WIND_DIRECTION_FLAG,WIND_SPEED_FLAG,HUMIDEX_FLAG,WIND_DIRECTION,PRECIP_AMOUNT_FLAG,LOCAL_HOUR,ID,TEMP_FLAG,HUMIDEX,TEMP,WINDCHILL_FLAG,STATION_PRESSURE_FLAG,WEATHER_ENG_DESC,RELATIVE_HUMIDITY_FLAG,WINDCHILL,STATION_NAME,UTC_DAY,WEATHER_FRE_DESC,VISIBILITY,DEW_POINT_TEMP_FLAG,CLIMATE_IDENTIFIER,UTC_MONTH,UTC_DATE,VISIBILITY_FLAG,WIND_SPEED,LOCAL_DAY,PROVINCE_CODE,LOCAL_YEAR,UTC_YEAR,RELATIVE_HUMIDITY,STATION_PRESSURE,DEW_POINT_TEMP,PRECIP_AMOUNT
-79.63055555555556,43.67666666666667,6,2021-06-07 07:00:00,,,,19,,7,6158731.2021.6.7.7,,30,24.7,,,Mostly Cloudy,,,TORONTO INTL A,7,Généralement nuageux,24.1,,6158731,6,2021-06-07T12:00:00,,7,7,ON,2021,2021,64,99.53,17.6,
-79.63055555555556,43.67666666666667,6,2021-06-07 08:00:00,,,,16,,8,6158731.2021.6.7.8,,32,25.3,,,NA,,,TORONTO INTL A,7,ND,24.1,,6158731,6,2021-06-07T13:00:00,,7,7,ON,2021,2021,65,99.52,18.4,
-79.63055555555556,43.67666666666667,6,2021-06-07 09:00:00,,,,17,,9,6158731.2021.6.7.9,,34,26.9,,,NA,,,TORONTO INTL A,7,ND,24.1,,6158731,6,2021-06-07T14:00:00,,9,7,ON,2021,2021,61,99.53,19.0,
-79.63055555555556,43.67666666666667,6,2021-06-07 10:00:00,,,,21,,10,6158731.2021.6.7.10,,37,29.6,,,Mostly Cloudy,,,TORONTO INTL A,7,Généralement nuageux,24.1,,6158731,6,2021-06-07T15:00:00,,13,7,ON,2021,2021,54,99.5,19.4,
-79.63055555555556,43.67666666666667,6,2021-06-07 11:00:00,,,,23,,11,6158731.2021.6.7.11,,37,29.9,,,NA,,,TORONTO INTL A,7,ND,24.1,,6158731,6,2021-06-07T16:00:00,,18,7,ON,2021,2021,52,99.49,19.3,
-79.63055555555556,43.67666666666667,6,2021-06-07 12:00:00,,,,21,,12,6158731.2021.6.7.12,,38,31.1,,,NA,,,TORONTO INTL A,7,ND,24.1,,6158731,6,2021-06-07T17:00:00,,26,7,ON,2021,2021,47,99.46,18.6,
-79.63055555555556,43.67666666666667,6,2021-06-07 13:00:00,,,,20,,13,6158731.2021.6.7.13,,38,31.0,,,Mostly Cloudy,,,TORONTO INTL A,7,Généralement nuageux,24.1,,6158731,6,2021-06-07T18:00:00,,18,7,ON,2021,2021,50,99.42,19.5,
-79.63055555555556,43.67666666666667,6,2021-06-07 14:00:00,,,,21,,14,6158731.2021.6.7.14,,38,31.0,,,NA,,,TORONTO INTL A,7,ND,24.1,,6158731,6,2021-06-07T19:00:00,,26,7,ON,2021,2021,49,99.38,19.1,
-79.63055555555556,43.67666666666667,6,2021-06-07 15:00:00,,,,23,,15,6158731.2021.6.7.15,,38,31.1,,,NA,,,TORONTO INTL A,7,ND,24.1,,6158731,6,2021-06-07T20:00:00,,26,7,ON,2021,2021,47,99.36,18.9,
-79.63055555555556,43.67666666666667,6,2021-06-07 16:00:00,,,,23,,16,6158731.2021.6.7.16,,38,30.5,,,Mostly Cloudy,,,TORONTO INTL A,7,Généralement nuageux,24.1,,6158731,6,2021-06-07T21:00:00,,27,7,ON,2021,2021,51,99.35,19.4,
-79.63055555555556,43.67666666666667,6,2021-06-07 17:00:00,,,,23,,17,6158731.2021.6.7.17,,37,30.3,,,NA,,,TORONTO INTL A,7,ND,24.1,,6158731,6,2021-06-07T22:00:00,,24,7,ON,2021,2021,50,99.35,19.0,
-79.63055555555556,43.67666666666667,6,2021-06-07 18:00:00,,,,25,,18,6158731.2021.6.7.18,,36,28.7,,,NA,,,TORONTO INTL A,7,ND,24.1,,6158731,6,2021-06-07T23:00:00,,30,7,ON,2021,2021,57,99.39,19.4,
-79.63055555555556,43.67666666666667,6,2021-06-07 19:00:00,,,,25,,19,6158731.2021.6.7.19,,35,28.1,,,Mostly Cloudy,,,TORONTO INTL A,8,Généralement nuageux,24.1,,6158731,6,2021-06-08T00:00:00,,19,7,ON,2021,2021,59,99.41,19.6,
-79.63055555555556,43.67666666666667,6,2021-06-07 20:00:00,,,,23,,20,6158731.2021.6.7.20,,33,27.1,,,NA,,,TORONTO INTL A,8,ND,24.1,,6158731,6,2021-06-08T01:00:00,,21,7,ON,2021,2021,55,99.43,17.5,
-79.63055555555556,43.67666666666667,6,2021-06-07 21:00:00,,,,22,,21,6158731.2021.6.7.21,,33,26.6,,,NA,,,TORONTO INTL A,8,ND,24.1,,6158731,6,2021-06-08T02:00:00,,22,7,ON,2021,2021,60,99.47,18.3,
