x,y,HUMIDEX_FLAG,STATION_PRESSURE_FLAG,LOCAL_HOUR,RELATIVE_HUMIDITY,UTC_MONTH,TEMP,WINDCHILL_FLAG,VISIBILITY_FLAG,WIND_SPEED,WIND_SPEED_FLAG,LOCAL_DATE,DEW_POINT_TEMP,WIND_DIRECTION,PRECIP_AMOUNT_FLAG,LOCAL_YEAR,WEATHER_ENG_DESC,WEATHER_FRE_DESC,PROVINCE_CODE,UTC_DAY,UTC_YEAR,UTC_DATE,VISIBILITY,ID,STATION_PRESSURE,WIND_DIRECTION_FLAG,WINDCHILL,DEW_POINT_TEMP_FLAG,STATION_NAME,PRECIP_AMOUNT,TEMP_FLAG,RELATIVE_HUMIDITY_FLAG,CLIMATE_IDENTIFIER,LOCAL_MONTH,HUMIDEX,LOCAL_DAY
-79.63055555555556,43.67666666666667,,,2,71,7,18.1,,,12,,2022-07-29 02:00:00,12.8,32,,2022,NA,ND,ON,29,2022,2022-07-29T07:00:00,24.1,6158731.2022.7.29.2,99.03,,,,TORONTO INTL A,,,,6158731,7,,29
-79.63055555555556,43.67666666666667,,,3,71,7,17.6,,,5,,2022-07-29 03:00:00,12.2,25,,2022,NA,ND,ON,29,2022,2022-07-29T08:00:00,24.1,6158731.2022.7.29.3,99.07,,,,TORONTO INTL A,,,,6158731,7,,29
-79.63055555555556,43.67666666666667,,,4,82,7,15.5,,,8,,2022-07-29 04:00:00,12.6,25,,2022,Clear,Dégagé,ON,29,2022,2022-07-29T09:00:00,24.1,6158731.2022.7.29.4,99.09,,,,TORONTO INTL A,,,,6158731,7,,29
-79.63055555555556,43.67666666666667,,,5,87,7,15.0,,,9,,2022-07-29 05:00:00,12.9,25,,2022,NA,ND,ON,29,2022,2022-07-29T10:00:00,24.1,6158731.2022.7.29.5,99.13,,,,TORONTO INTL A,,,,6158731,7,,29
-79.63055555555556,43.67666666666667,,,6,86,7,16.3,,,9,,2022-07-29 06:00:00,13.9,25,,2022,NA,ND,ON,29,2022,2022-07-29T11:00:00,24.1,6158731.2022.7.29.6,99.17,,,,TORONTO INTL A,,,,6158731,7,,29
-79.63055555555556,43.67666666666667,,,7,69,7,19.1,,,16,,2022-07-29 07:00:00,13.4,25,,2022,Clear,Dégagé,ON,29,2022,2022-07-29T12:00:00,24.1,6158731.2022.7.29.7,99.21,,,,TORONTO INTL A,,,,6158731,7,,29
-79.63055555555556,43.67666666666667,,,8,60,7,21.7,,,21,,2022-07-29 08:00:00,13.8,26,,2022,NA,ND,ON,29,2022,2022-07-29T13:00:00,24.1,6158731.2022.7.29.8,99.2,,,,TORONTO INTL A,,,,6158731,7,25,29
-79.63055555555556,43.67666666666667,,,9,51,7,23.7,,,21,,2022-07-29 09:00:00,13.2,27,,2022,NA,ND,ON,29,2022,2022-07-29T14:00:00,24.1,6158731.2022.7.29.9,99.22,,,,TORONTO INTL A,,,,6158731,7,27,29
-79.63055555555556,43.67666666666667,,,10,41,7,25.2,,,26,,2022-07-29 10:00:00,11.3,28,,2022,Mainly Clear,Généralement dégagé,ON,29,2022,2022-07-29T15:00:00,24.1,6158731.2022.7.29.10,99.2,,,,TORONTO INTL A,,,,6158731,7,27,29
-79.63055555555556,43.67666666666667,,,11,37,7,25.4,,,24,,2022-07-29 11:00:00,9.8,29,,2022,NA,ND,ON,29,2022,2022-07-29T16:00:00,24.1,6158731.2022.7.29.11,99.22,,,,TORONTO INTL A,,,,6158731,7,27,29
-79.63055555555556,43.67666666666667,,,12,38,7,27.0,,,20,,2022-07-29 12:00:00,11.8,27,,2022,NA,ND,ON,29,2022,2022-07-29T17:00:00,24.1,6158731.2022.7.29.12,99.21,,,,TORONTO INTL A,,,,6158731,7,29,29
-79.63055555555556,43.67666666666667,,,13,35,7,27.4,,,35,,2022-07-29 13:00:00,10.7,27,,2022,Mainly Clear,Généralement dégagé,ON,29,2022,2022-07-29T18:00:00,24.1,6158731.2022.7.29.13,99.22,,,,TORONTO INTL A,,,,6158731,7,29,29
-79.63055555555556,43.67666666666667,,,14,33,7,27.9,,,33,,2022-07-29 14:00:00,10.3,28,,2022,NA,ND,ON,29,2022,2022-07-29T19:00:00,24.1,6158731.2022.7.29.14,99.19,,,,TORONTO INTL A,,,,6158731,7,29,29
-79.63055555555556,43.67666666666667,,,15,36,7,26.7,,,26,,2022-07-29 15:00:00,10.7,26,,2022,NA,ND,ON,29,2022,2022-07-29T20:00:00,24.1,6158731.2022.7.29.15,99.18,,,,TORONTO INTL A,,,,6158731,7,28,29
-79.63055555555556,43.67666666666667,,,16,35,7,27.4,,,30,,2022-07-29 16:00:00,10.9,30,,2022,Mainly Clear,Généralement dégagé,ON,29,2022,2022-07-29T21:00:00,24.1,6158731.2022.7.29.16,99.15,,,,TORONTO INTL A,,,,6158731,7,29,29
-79.63055555555556,43.67666666666667,,,17,39,7,25.6,,,26,,2022-07-29 17:00:00,11.0,28,,2022,NA,ND,ON,29,2022,2022-07-29T22:00:00,24.1,6158731.2022.7.29.17,99.18,,,,TORONTO INTL A,,,,6158731,7,27,29
