x,y,WIND_SPEED_FLAG,UTC_DATE,LOCAL_HOUR,STATION_NAME,STATION_PRESSURE,TEMP,UTC_YEAR,DEW_POINT_TEMP_FLAG,STATION_PRESSURE_FLAG,LOCAL_DATE,LOCAL_MONTH,RELATIVE_HUMIDITY,WINDCHILL,WIND_DIRECTION,WINDCHILL_FLAG,HUMIDEX_FLAG,LOCAL_YEAR,PRECIP_AMOUNT,DEW_POINT_TEMP,UTC_DAY,VISIBILITY,VISIBILITY_FLAG,WIND_DIRECTION_FLAG,LOCAL_DAY,TEMP_FLAG,PRECIP_AMOUNT_FLAG,ID,PROVINCE_CODE,CLIMATE_IDENTIFIER,WEATHER_FRE_DESC,UTC_MONTH,RELATIVE_HUMIDITY_FLAG,WIND_SPEED,WEATHER_ENG_DESC,HUMIDEX
-79.63055555555556,43.67666666666667,,2023-09-18T23:00:00,18,TORONTO INTL A,99.2,16.7,2023,,,2023-09-18 18:00:00,9,69,,32,,,2023,,10.9,18,24.1,,,18,,,6158731.2023.9.18.18,ON,6158731,ND,9,,30,NA,
-79.63055555555556,43.67666666666667,,2023-09-19T00:00:00,19,TORONTO INTL A,99.23,15.8,2023,,,2023-09-18 19:00:00,9,71,,32,,,2023,,10.6,19,24.1,,,18,,,6158731.2023.9.18.19,ON,6158731,Généralement dégagé,9,,24,Mainly Clear,
-79.63055555555556,43.67666666666667,,2023-09-19T01:00:00,20,TORONTO INTL A,99.29,15.3,2023,,,2023-09-18 20:00:00,9,73,,34,,,2023,,10.5,19,24.1,,,18,,,6158731.2023.9.18.20,ON,6158731,ND,9,,25,NA,
-79.63055555555556,43.67666666666667,,2023-09-19T02:00:00,21,TORONTO INTL A,99.32,14.3,2023,,,2023-09-18 21:00:00,9,71,,33,,,2023,,9.2,19,24.1,,,18,,,6158731.2023.9.18.21,ON,6158731,ND,9,,19,NA,
-79.63055555555556,43.67666666666667,,2023-09-19T03:00:00,22,TORONTO INTL A,99.32,13.3,2023,,,2023-09-18 22:00:00,9,73,,31,,,2023,,8.7,19,24.1,,,18,,,6158731.2023.9.18.22,ON,6158731,Dégagé,9,,18,Clear,
-79.63055555555556,43.67666666666667,,2023-09-19T04:00:00,23,TORONTO INTL A,99.32,13.4,2023,,,2023-09-18 23:00:00,9,74,,31,,,2023,,8.9,19,24.1,,,18,,,6158731.2023.9.18.23,ON,6158731,ND,9,,24,NA,
-79.63055555555556,43.67666666666667,,2023-09-19T05:00:00,0,TORONTO INTL A,99.33,12.4,2023,,,2023-09-19 00:00:00,9,82,,30,,,2023,,9.5,19,24.1,,,19,,,6158731.2023.9.19.0,ON,6158731,ND,9,,13,NA,
-79.63055555555556,43.67666666666667,,2023-09-19T06:00:00,1,TORONTO INTL A,99.35,12.7,2023,,,2023-09-19 01:00:00,9,80,,31,,,2023,,9.4,19,24.1,,,19,,,6158731.2023.9.19.1,ON,6158731,Dégagé,9,,20,Clear,
-79.63055555555556,43.67666666666667,,2023-09-19T07:00:00,2,TORONTO INTL A,99.36,11.8,2023,,,2023-09-19 02:00:00,9,83,,31,,,2023,,9.1,19,24.1,,,19,,,6158731.2023.9.19.2,ON,6158731,ND,9,,14,NA,
-79.63055555555556,43.67666666666667,,2023-09-19T08:00:00,3,TORONTO INTL A,99.36,11.4,2023,,,2023-09-19 03:00:00,9,84,,31,,,2023,,8.8,19,24.1,,,19,,,6158731.2023.9.19.3,ON,6158731,ND,9,,9,NA,
